ACCOUNT_ID,country,business,isFraud,transaction_count,total_amount,avg_amount,max_amount,unique_counterparties
0,US,I,False,1.0,184.44,184.44,184.44,1.0
1,US,I,False,1.0,175.8,175.8,175.8,1.0
2,US,I,False,1.0,142.05,142.05,142.05,1.0
3,US,I,False,1.0,125.88,125.88,125.88,1.0
4,US,I,False,1.0,151.13,151.13,151.13,1.0
5,US,I,False,1.0,140.49,140.49,140.49,1.0
6,US,I,False,1.0,178.38,178.38,178.38,1.0
7,US,I,False,1.0,130.33,130.33,130.33,1.0
8,US,I,False,1.0,147.66,147.66,147.66,1.0
9,US,I,False,1.0,158.33,158.33,158.33,1.0
10,US,I,False,1.0,190.8,190.8,190.8,1.0
11,US,I,False,1.0,150.47,150.47,150.47,1.0
12,US,I,False,1.0,128.17,128.17,128.17,1.0
13,US,I,False,1.0,175.58,175.58,175.58,1.0
14,US,I,False,1.0,161.83,161.83,161.83,1.0
15,US,I,False,2.0,250.1,125.05,125.05,2.0
16,US,I,False,2.0,381.94,190.97,190.97,2.0
17,US,I,False,2.0,396.54,198.27,198.27,2.0
18,US,I,False,2.0,362.04,181.02,181.02,2.0
19,US,I,False,1.0,190.22,190.22,190.22,1.0
20,US,I,True,2.0,262.0,131.0,131.0,2.0
21,US,I,False,2.0,345.94,172.97,172.97,2.0
22,US,I,False,2.0,379.76,189.88,189.88,2.0
23,US,I,False,3.0,505.16999999999996,168.39,168.39,3.0
24,US,I,True,3.0,305.59000000000003,101.86333333333334,147.21,2.0
25,US,I,True,5.0,451.41,90.28200000000001,110.06,4.0
26,US,I,True,4.0,573.64,143.41,143.41,4.0
27,US,I,False,0.0,0.0,0.0,0.0,0.0
28,US,I,False,0.0,0.0,0.0,0.0,0.0
29,US,I,False,0.0,0.0,0.0,0.0,0.0
